movieId,title,genres
54787,Death Sentence (2007),Drama|Thriller
7458,Troy (2004),Action|Adventure|Drama|War
3717,Gone in 60 Seconds (2000),Action|Crime
1497,Double Team (1997),Action
26492,Twilight Zone: The Movie (1983),Fantasy|Horror|Sci-Fi|Thriller
105213,Don Jon (2013),Comedy|Drama|Romance
2084,Newsies (1992),Children|Musical
73804,Asterix at the Olympic Games (Astérix aux jeux olympiques) (2008),Adventure|Children|Comedy|Fantasy
720,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy
47937,Severance (2006),Comedy|Horror|Thriller
