type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Quality
0,6.6,0.35,0.26,2.7,0.045,19.0,129.0,0.98952,3.24,0.48,13.0,1
0,6.1,0.17,0.27,1.5,0.056,45.0,135.0,0.9924,3.2,0.43,10.2,1
0,6.3,0.2,0.24,1.7,0.052000000000000005,36.0,135.0,0.99374,3.8,0.66,10.8,1
0,6.6,0.22,0.23,17.3,0.047,37.0,118.0,0.99906,3.08,0.46,8.8,1
1,8.1,0.73,0.0,2.5,0.081,12.0,24.0,0.99798,3.38,0.46,9.6,0
0,9.1,0.59,0.38,1.6,0.066,34.0,182.0,0.9968,3.23,0.38,8.5,0
0,6.6,0.34,0.4,8.1,0.046,68.0,170.0,0.99494,3.15,0.5,0.001,1
0,7.7,0.28,0.63,11.1,0.039,58.0,179.0,0.9979,3.08,0.44,8.8,0
1,6.4,0.865,0.03,3.2,0.071,27.0,58.0,0.995,3.61,0.49,12.7,1
1,9.1,0.68,0.11,2.8,0.093,11.0,44.0,0.99888,3.31,0.55,9.5,1
